amfi_code,Sortino_Ratio,scheme_name
100016,-0.35104746015230903,HDFC Top 100 Fund - Regular Plan - Growth
100025,-0.9408513449988528,HDFC Short Term Debt Fund - Regular - Growth
100033,1.8291339615146935,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,1.799562874698451,ABSL Frontline Equity Fund - Regular - Growth
101207,0.2764555915099258,ABSL Small Cap Fund - Regular - Growth
101208,-1.679772565950314,ABSL Liquid Fund - Regular - Growth
102885,1.4357420130649488,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.3472223025472728,UTI Mid Cap Fund - Regular - Growth
102887,1.088755250803002,UTI Flexi Cap Fund - Regular - Growth
118632,1.8501325468557261,Nippon India Large Cap Fund - Regular - Growth
118633,1.1544757169236246,Nippon India Large Cap Fund - Direct - Growth
118634,0.7455538978862967,Nippon India Small Cap Fund - Regular - Growth
118635,1.1379767187807424,Nippon India ETF Nifty 50 BeES
118636,-0.6135251287271025,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.05257398559304803,Axis Bluechip Fund - Regular - Growth
119093,0.22091905372868464,Axis Bluechip Fund - Direct - Growth
119094,1.7037974802462994,Axis Midcap Fund - Regular - Growth
119095,-0.1281855927585192,Axis Small Cap Fund - Regular - Growth
119120,-0.3767670081706669,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,2.140267129061794,SBI Bluechip Fund - Regular Plan - Growth
119552,1.6097764896283089,SBI Bluechip Fund - Direct Plan - Growth
119598,1.6753165700125514,SBI Small Cap Fund - Regular Plan - Growth
119599,-0.09438726129459601,SBI Small Cap Fund - Direct Plan - Growth
120503,1.3379431500669237,ICICI Pru Bluechip Fund - Regular - Growth
120504,1.8052937940992542,ICICI Pru Bluechip Fund - Direct - Growth
120505,2.029352940465746,ICICI Pru Midcap Fund - Regular - Growth
120506,1.0958951614736467,ICICI Pru Value Discovery Fund - Regular - Growth
120507,1.052123882260929,ICICI Pru Liquid Fund - Regular - Growth
120841,0.8625738849916582,Kotak Bluechip Fund - Regular - Growth
120842,0.12469346986475671,Kotak Emerging Equity Fund - Regular - Growth
120843,2.364320032166718,Kotak Flexicap Fund - Regular - Growth
120844,-0.1877230477424223,Kotak Liquid Fund - Regular - Growth
125497,1.3306512447571361,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.5088128197169229,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,2.3856443733688186,Mirae Asset Large Cap Fund - Regular - Growth
148568,1.632740977873516,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,2.1469139263460533,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.7621288703723166,DSP Top 100 Equity Fund - Regular - Growth
149323,1.8751010639192085,DSP Midcap Fund - Regular - Growth
149324,1.61979317649141,DSP Small Cap Fund - Regular - Growth
